case_id,task_duration(us),device_id,operation,description,m,n,k,A,B,C
32,21.020,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x352_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
33,19.880,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x384_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
34,18.620,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x384_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
35,19.480,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x384_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
36,20.720,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x384_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
37,20.360,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x416_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
38,20.620,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x416_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
39,20.680,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x416_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
40,20.700,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x416_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
41,21.580,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x448_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
42,20.700,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x448_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
